id,Question,Desired_answer,Student_answer,score_me,score_other,score_avg

110.1,What is the time complexity of Binary Search algorithm?,O(log n),Binary search has a time complexity of O(log n) because it divides the search space in half with each comparison.,5,5,5.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The time complexity is logarithmic because it reduces the problem size by half in each step.,5,4,4.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),It's O(log n) since we keep dividing the array into two parts.,4,4,4.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The algorithm takes log n time because it splits the array in half each time.,5,4,4.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),Binary search has logarithmic time complexity as it halves the search space.,5,5,5.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),It's O(n) because we have to search through the array.,2,2,2.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The time complexity is O(n log n) because we divide and conquer.,3,2,2.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),It's O(1) since we can find the element directly.,1,1,1.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),Binary search has a time complexity of O(n^2) because it's a search algorithm.,2,1,1.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The complexity is O(log n) as it uses divide and conquer approach.,5,4,4.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),It's O(log n) because we keep dividing the problem size.,4,4,4.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The time complexity is logarithmic since we reduce the search space by half.,5,4,4.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),Binary search has O(log n) complexity as it halves the array each time.,5,5,5.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),It's O(n) because we need to check each element.,2,2,2.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The complexity is O(n^2) for searching in a sorted array.,2,1,1.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),Binary search has O(1) time complexity as it's very fast.,1,1,1.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The time complexity is O(log n) because it uses binary division.,5,4,4.5
110.1,What is the time complexity of Binary Search algorithm?,O(log n),It's O(log n) as we keep dividing the array into two parts.,4,4,4.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),Binary search has logarithmic time complexity O(log n).,5,5,5.0
110.1,What is the time complexity of Binary Search algorithm?,O(log n),The complexity is O(n log n) because it's a sorting algorithm.,2,2,2.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model helps in understanding how different network protocols work together by dividing network communication into seven layers.,5,4,4.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It provides a reference model for understanding network protocols and their interactions.,4,4,4.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model standardizes network communication by breaking it into seven layers.,5,4,4.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It helps in designing and implementing network protocols by providing a layered approach.,5,5,5.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model is used to connect computers in a network.,2,2,2.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It's a model for internet communication.,3,2,2.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model is used to create network cables.,1,1,1.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It helps in understanding how data travels through a network by providing a layered architecture.,5,4,4.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model standardizes how different network devices communicate.,4,4,4.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It's a model for wireless communication.,2,2,2.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model helps in troubleshooting network issues by providing a structured approach.,5,4,4.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It provides a way to understand network protocols and their functions.,4,4,4.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model is used to create network diagrams.,2,1,1.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It helps in designing network security protocols.,4,3,3.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model is used to measure network speed.,1,1,1.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It provides a framework for understanding how data is transmitted across networks.,5,4,4.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model helps in implementing network protocols by providing a layered structure.,4,4,4.0
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,It's a model for data compression.,2,1,1.5
110.2,What is the purpose of the OSI model in computer networks?,To provide a standardized framework for network communication.,The OSI model standardizes how different network components interact.,5,4,4.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory extends the available memory by using disk space as an extension of RAM.,5,4,4.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It enables programs to use more memory than what's physically available by using disk space.,4,4,4.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory allows the OS to run more programs than would fit in physical RAM.,5,4,4.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It provides the illusion of having more memory than physically available by using disk space.,5,5,5.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory is used to store files on disk.,2,2,2.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It's used to increase processor speed.,2,1,1.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory is used to backup data.,1,1,1.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It allows the system to run more programs by using disk space as additional memory.,5,4,4.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory extends the available memory space by using disk storage.,4,4,4.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It's used to store temporary files.,2,2,2.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory helps in managing memory efficiently by using disk space.,5,4,4.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It provides more memory space than physically available by using disk storage.,4,4,4.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory is used to store system files.,2,1,1.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It helps in improving system performance by using disk space.,4,3,3.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory is used to store user data.,1,1,1.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It allows programs to use more memory than physically available by using disk space.,5,4,4.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory extends the available memory by using disk storage.,4,4,4.0
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,It's used to store cache memory.,2,1,1.5
110.3,What is the purpose of virtual memory in operating systems?,To allow programs to use more memory than physically available in RAM.,Virtual memory provides more memory space than physically available.,5,4,4.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),Dijkstra's algorithm has a time complexity of O((V + E) log V) where V is vertices and E is edges.,5,5,5.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The time complexity is O((V + E) log V) because it uses a priority queue for vertices.,5,4,4.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),It's O((V + E) log V) as it processes each vertex and edge with priority queue operations.,4,4,4.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),Dijkstra's algorithm takes O((V + E) log V) time due to priority queue operations.,5,4,4.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The complexity is O(V^2) because it's a graph algorithm.,2,2,2.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),It's O(E log V) because it processes edges with priority queue.,4,3,3.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),Dijkstra's algorithm has O(n^2) time complexity.,2,1,1.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The time complexity is O((V + E) log V) as it uses priority queue for vertices.,5,4,4.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),It's O((V + E) log V) because of priority queue operations on vertices.,4,4,4.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The complexity is O(V^3) for graph algorithms.,1,1,1.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),Dijkstra's algorithm has O((V + E) log V) time complexity with priority queue.,5,4,4.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The time complexity is O((V + E) log V) due to priority queue operations.,4,4,4.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),It's O(V^2) because it's a shortest path algorithm.,2,2,2.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The complexity is O(E log V) for graph traversal.,3,3,3.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),Dijkstra's algorithm has O(n) time complexity.,1,1,1.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The time complexity is O((V + E) log V) with priority queue implementation.,5,4,4.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),It's O((V + E) log V) due to priority queue operations on vertices.,4,4,4.0
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),The complexity is O(V^2) for shortest path algorithms.,2,1,1.5
110.4,What is the time complexity of Dijkstra's algorithm?,O((V + E) log V),Dijkstra's algorithm has O((V + E) log V) time complexity.,5,4,4.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization helps in organizing data efficiently by reducing redundancy and dependency.,5,4,4.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It reduces data redundancy and ensures data consistency in database tables.,4,4,4.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization organizes data to minimize redundancy and dependency issues.,5,4,4.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It helps in designing efficient database schemas by reducing redundancy.,5,5,5.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization is used to create database tables.,2,2,2.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It's used to speed up database queries.,3,2,2.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization is used to backup database data.,1,1,1.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It reduces data redundancy and ensures data integrity in database tables.,5,4,4.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization helps in organizing data efficiently by reducing redundancy.,4,4,4.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It's used to create database indexes.,2,1,1.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization ensures data consistency by reducing redundancy.,5,4,4.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It helps in designing efficient database structures by reducing redundancy.,4,4,4.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization is used to create database views.,2,1,1.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It helps in improving database performance.,3,3,3.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization is used to store database data.,1,1,1.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It reduces data redundancy and ensures data consistency in database tables.,5,4,4.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization helps in organizing data efficiently by reducing redundancy.,4,4,4.0
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,It's used to create database triggers.,2,1,1.5
110.5,What is the purpose of normalization in database design?,To minimize redundancy and dependency in database tables.,Normalization ensures efficient database design by reducing redundancy.,5,4,4.5
110.6,What is the purpose of a compiler in programming?,To translate high-level programming code into machine code.,A compiler converts source code written in a high-level language into machine code that can be executed by the computer.,5,5,5.0
110.6,What is the purpose of a compiler in programming?,To translate high-level programming code into machine code.,It translates human-readable code into machine-readable binary code.,5,4,4.5
110.6,What is the purpose of a compiler in programming?,To translate high-level programming code into machine code.,The compiler converts programming language code into executable machine code.,4,4,4.0
110.6,What is the purpose of a compiler in programming?,To translate high-level programming code into machine code.,It transforms high-level language instructions into machine-level instructions.,5,4,4.5
110.6,What is the purpose of a compiler in programming?,To translate high-level programming code into machine code.,A compiler is used to run programs.,2,2,2.0
