id,question,desired_answer,student_answer,score_me,score_other,score_avg,wmd_score,cosine_similarity
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,high risk problems are address in the prototype program to make sure that the program is feasible.  a prototype may also be used to show a company that the software can be possibly programmed.,4.0,1,2.5,1.040137190307387,0.1186204397398836
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to simulate portions of the desired final product with a quick and easy program that does a small specific job. it is a way to help see what the problem is and how you may solve it in the final project.,5.0,4,4.5,0.9774173428943957,0.32614334652005855
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,5.0,3,4.0,0.7128474695961553,0.5032094638851166
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"defined in the specification phase a prototype stimulates the behavior of portions of the desired software product.  meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5.0,1,3.0,0.8912357049567587,0.3687668856770778
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. this can generate much feedback including software specifications and project estimations of the total project.,3.0,5,4.0,0.966284251728405,0.1518583605714812
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to find problem and errors in a program before it is finalized,2.0,1,1.5,1.2196409538157444,0.021750371907577202
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"to address major issues in the creation of the program. there is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible.",3.0,2,2.5,1.0536309177851768,0.08777365319297141
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program,5.0,2,3.5,0.942953712591772,0.18967492943331865
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,#name?,5.0,1,3.0,inf,0.0
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,simulating the behavior of only a portion of the desired software product.,5.0,2,3.5,0.4821699090632714,0.46545133770492764
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a program that stimulates the behavior of portions of the desired software product.,5.0,1,3.0,0.5422388022276298,0.6115655417729859
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a program that simulates the behavior of portions of the desired software product.,5.0,2,3.5,0.4829662431347259,0.6250898165686365
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to lay out the basics and give you a starting point in the actual problem solving.,2.0,5,3.5,1.0498198477311074,0.05141336993897917
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to simulate problem solving for parts of the problem,4.0,3,3.5,0.8800689232375231,0.23653852909775794
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,a prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2.0,1,1.5,1.2144260655782215,0.03029072851446119
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,"a prototype program is a part of the specification phase of software problem solvin.  it's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",4.0,3,3.5,1.1143184853965102,0.13353539411516474
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,program that simulates the behavior of portions of the desired software product,5.0,2,3.5,0.5538538624742266,0.6250898165686365
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it provides a limited proof of concept to verify with the client before actually programming the whole application.,2.0,5,3.5,1.0473785360276306,0.0663350944926646
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it tests the main function of the program while leaving out the finer details.,2.0,4,3.0,0.9474244444449699,0.09133449207635347
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,to get early feedback from users in early stages of development.  to show users a first idea of what the program will do/look like.  to make sure the program will meet requirements before intense programming begins.,3.0,2,2.5,1.1245729790485126,0.07185901814839121
1.1,What is the role of a prototype program in problem solving?,to simulate the behaviour of portions of the desired software product.,it simulates the behavior of portions of the desired software product,5.0,2,3.5,0.4820398038718244,0.6435817924417853
